hash,blockchain,transaction_type,amount,wallet_address,date,fee_crypto,fee_crypto_symbol,fee_usd,usd_ils_rate,fee_ils_standard,fee_ils_markup_6pct,crypto_amount_sent,error
592d12fb149e826d74178017361f376ae4ef04f7413c5d53c49b21e94d3ad855,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/592d12fb149e826d74178017361f376ae4ef04f7413c5d53c49b21e94d3ad855
0x84a4a351c14549845b7fb9335acbeec145c21a8baabdeb15da77d753463f3a51,ETH,send,0.032665,0xf48212e83e64a47b22f9cb9c12297464ca2c895b,2024-10-21,0.00024816,ETH,0.62,3.736,2.32,2.46,0.032665,
0x539498798ed01f8df774209ce9536630dcca68aa7f87e2142521abae00bd0f3f,USDT-ERC20,send,503.09402,0x721e1752023c4fdad32a440ad157fdaedc56f5dd,2024-10-15,0.00198819,ETH,4.97,3.747,18.62,19.74,503.09402,
0x6efbbda1cad0ed2eb94f76afe718f91d7bd05f21442bc4b883c809eff859f4cc,USDT-ERC20,send,105.652932,0xbb8f6bf383948eb93408c139b0d38d8d98bbf3d3,2024-10-15,0.00100232,ETH,2.51,3.747,9.39,9.95,105.652932,
b07c4e6c0b14a0fed4b87cdaea8816ebef7df9d309721faa059a9d8a25d59b82,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/b07c4e6c0b14a0fed4b87cdaea8816ebef7df9d309721faa059a9d8a25d59b82
65ca663bbdcf406c1873eba49817fb1080d2bea36cc8fb27cbfa6a91e2d9bf7c,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/65ca663bbdcf406c1873eba49817fb1080d2bea36cc8fb27cbfa6a91e2d9bf7c
ac0efb258b729b5535de2d7764005de84981cab2b2775d697ec6c104bb7161cf,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/ac0efb258b729b5535de2d7764005de84981cab2b2775d697ec6c104bb7161cf
8ccf751f7b395130d486099d7e6acd620099cfc2f82e1165a1f3e6fabd1d185e,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/8ccf751f7b395130d486099d7e6acd620099cfc2f82e1165a1f3e6fabd1d185e
1722498b102edf0edba3ff359feca2d03d2aedf9e3a867725b33cb821164d00a,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/1722498b102edf0edba3ff359feca2d03d2aedf9e3a867725b33cb821164d00a
a0e6c82881fea400e89e319e8e7b998113cbcd80897500a4aa2f4c59e9e77d9b,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/a0e6c82881fea400e89e319e8e7b998113cbcd80897500a4aa2f4c59e9e77d9b
689b910206754263dc516686cde78ef8f733c91e71601c94dbd67671c1c6bd65,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/689b910206754263dc516686cde78ef8f733c91e71601c94dbd67671c1c6bd65
0x17d605b0f1df76df94c7be1d378f5b86caaa68f684ba33546674e69e00c17fb7,USDT-ERC20,send,62.744703,0xe6825406486cd88e3f2b3b14ba9a61f8623cc66b,2024-09-25,0.00140312,ETH,3.51,3.758,13.18,13.97,62.744703,
0x4887cb6cabc4179266d82838ba18891b769cdc9d6c31f927469f0aaa23ff5054,ETH,send,0.019681,0x57fbce2371b812352a01cad652f477e57ffbbb1a,2024-09-25,0.00044377,ETH,1.11,3.758,4.17,4.42,0.019681,
9fc2dcd3a777b59b4b9b53ab92adafd37ddf8f0bad0662eddcc4529ed17268e0,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/9fc2dcd3a777b59b4b9b53ab92adafd37ddf8f0bad0662eddcc4529ed17268e0
7005ddf494118ae5ebf3e501e9fee6960e7250fa4f3aa8e44eacb93df8046efd,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/7005ddf494118ae5ebf3e501e9fee6960e7250fa4f3aa8e44eacb93df8046efd
0x8131bd1e5bccf8129e1eeaf23cba10b29d1c9063b17a9a00556bc0efb99624cf,USDT-ERC20,send,24.966295,0x2128aaa97a3a851e63e5c674da737a1964f6e653,2024-09-23,0.00165687,ETH,4.14,3.779,15.65,16.59,24.966295,
0x7c86fc1e86819a2f9632f843c11e37b3913f3e1703bc8325ed812f9f3ce3d203,USDT-ERC20,send,748.983255,0xd779707c2fef9456dc9abdcf326b0160dacb9d79,2024-09-23,0.00226286,ETH,5.66,3.779,21.38,22.66,748.983255,
1408122527b74e7cef27040175cd8eaa6c2043be2fa649e92095833920b0efa5,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/1408122527b74e7cef27040175cd8eaa6c2043be2fa649e92095833920b0efa5
6009fa770b7de52afa925e6303d6ad502d8b3895dc25fca9738da949d78032f7,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/6009fa770b7de52afa925e6303d6ad502d8b3895dc25fca9738da949d78032f7
dba1f604082384412bf799264a96246a651df780fde12487708b3645c5329a98,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/dba1f604082384412bf799264a96246a651df780fde12487708b3645c5329a98
0x222a4ef8f2d693ff06c0fd3287f629dc3415db0352c88b6b18aabf84729d5abe,USDT-ERC20,send,499.7214,0x1b45645b953765c5fec3fc5f6195fc62c75d7a5f,2024-09-18,0.00092847,ETH,2.32,3.773,8.76,9.28,499.7214,
0xdf87a7d2d0d50f62c57af594ff50bf3165354ed2fde5bf9b398f26a39cabf251,ETH,send,0.065229,0xa14e49ffd2bdc68f968af1cf52a42a6536a27735,2024-09-18,0.00026655,ETH,0.67,3.773,2.51,2.67,0.065229,
0xf2d018cf3dc3dd9e1ec7fd93da2eed4a9b1c9d5fb4e69e15bf75106d9fba8612,USDT-ERC20,send,338.662458,0x4a22a17a367738fc59826e684468e2bd855773ae,2024-09-18,0.00063445,ETH,1.59,3.773,5.98,6.34,338.662458,
33a9bc733d7872c9263ae65e028f9b53183adf0481b75be80dab92a15ce2c212,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/33a9bc733d7872c9263ae65e028f9b53183adf0481b75be80dab92a15ce2c212
0x6a0bea036510c6d92924b1055c334ff843a82120082a64164fbac1bd490ce93b,USDT-ERC20,send,76.286184,0xdfeb46c1eb3a1bb0582bd8c945c4bbed9199bfeb,2024-09-15,0.0002013,ETH,0.5,3.707,1.87,1.98,76.286184,
0x1399a2887c9db1dd2a4977548cf74502baf3522269930c102b6237f79fb0f7f9,USDT-ERC20,send,254.28728,0x8f13c09667bc2a9ce5ea20183829a0da83ea4329,2024-09-15,0.00019481,ETH,0.49,3.707,1.81,1.91,254.28728,
0xeff721ea27b3144e2917ec0b990712f4aa83ce68e08d29e6c51d6003b20ba13a,ETH,send,0.5283,0xfe973b6bcbc67d6752627768b1e4c478c5570445,2024-09-15,8.282e-05,ETH,0.21,3.707,0.77,0.81,0.5283,
